n,hr_com_size,lr_com_size,lr_prop_per_com,degree_dist,deg_dist_param,com_dist_param,max_vaccine_threshold,vacc_strategy,seed,end,peak,peak_hr,peak_lr,dead,dead_hr,dead_lr,rec,rec_hr,rec_lr,vacc,vacc_hr,vacc_lr,imu,imu_hr,imu_lr,never_v,never_v_hr,never_v_lr
500,0.05,0.2,0.05,power_law,2.0,20,0.5,0,0,130,0.448,0.352,0.116,0.076,0.072,0.004,0.844,0.608,0.236,0.0,0.0,0.0,0.844,0.608,0.236,0.08,0.068,0.012
500,0.05,0.2,0.05,power_law,2.0,20,0.5,0,1,121,0.432,0.332,0.104,0.05,0.048,0.002,0.856,0.626,0.23,0.0,0.0,0.0,0.856,0.626,0.23,0.094,0.078,0.016
500,0.05,0.2,0.05,power_law,2.0,20,0.5,0,2,169,0.332,0.27,0.084,0.066,0.066,0.0,0.848,0.61,0.238,0.0,0.0,0.0,0.848,0.61,0.238,0.086,0.07,0.016
500,0.05,0.2,0.05,power_law,2.0,20,0.5,1,0,147,0.23,0.162,0.07,0.05,0.046,0.004,0.494,0.34,0.154,0.348,0.278,0.07,0.842,0.6180000000000001,0.224,0.108,0.084,0.024
500,0.05,0.2,0.05,power_law,2.0,20,0.5,1,1,120,0.314,0.226,0.098,0.036,0.036,0.0,0.588,0.416,0.172,0.284,0.22,0.064,0.8719999999999999,0.636,0.236,0.092,0.08,0.012
500,0.05,0.2,0.05,power_law,2.0,20,0.5,1,2,201,0.112,0.082,0.038,0.026,0.026,0.0,0.374,0.236,0.138,0.452,0.35,0.102,0.8260000000000001,0.586,0.24,0.148,0.134,0.014
500,0.05,0.2,0.05,power_law,2.0,20,0.5,2,0,167,0.146,0.128,0.044,0.04,0.036,0.004,0.492,0.368,0.124,0.356,0.258,0.098,0.848,0.626,0.222,0.112,0.086,0.026
500,0.05,0.2,0.05,power_law,2.0,20,0.5,2,1,140,0.208,0.166,0.042,0.032,0.032,0.0,0.568,0.44,0.128,0.316,0.21,0.106,0.8839999999999999,0.65,0.23399999999999999,0.084,0.07,0.014
500,0.05,0.2,0.05,power_law,2.0,20,0.5,2,2,146,0.222,0.178,0.052,0.036,0.036,0.0,0.52,0.388,0.132,0.344,0.238,0.106,0.864,0.626,0.238,0.1,0.084,0.016
500,0.05,0.2,0.05,power_law,2.0,20,0.5,3,0,225,0.104,0.06,0.044,0.022,0.02,0.002,0.38,0.24,0.14,0.446,0.352,0.094,0.8260000000000001,0.592,0.234,0.152,0.136,0.016
