n,hr_com_size,lr_com_size,lr_prop_per_com,degree_dist,deg_dist_param,com_dist_param,max_vaccine_threshold,vacc_strategy,seed,end,peak,peak_hr,peak_lr,dead,dead_hr,dead_lr,rec,rec_hr,rec_lr,vacc,vacc_hr,vacc_lr,imu,imu_hr,imu_lr,never_v,never_v_hr,never_v_lr
500,0.05,0.2,0.05,power_law,2.0,25,0.7,0,0,0.3452054794520548,0.46,0.368,0.102,0.076,0.074,0.002,0.856,0.612,0.244,0.0,0.0,0.0,0.856,0.612,0.244,0.068,0.062,0.006
500,0.05,0.2,0.05,power_law,2.0,25,0.7,0,1,0.37534246575342467,0.394,0.306,0.11,0.05,0.048,0.002,0.884,0.648,0.236,0.0,0.0,0.0,0.884,0.648,0.236,0.066,0.056,0.01
500,0.05,0.2,0.05,power_law,2.0,25,0.7,0,2,0.33972602739726027,0.46,0.368,0.12,0.068,0.068,0.0,0.852,0.616,0.236,0.0,0.0,0.0,0.852,0.616,0.236,0.08,0.062,0.018
500,0.05,0.2,0.05,power_law,2.0,25,0.7,0,3,0.4246575342465753,0.378,0.296,0.104,0.052,0.05,0.002,0.874,0.64,0.234,0.0,0.0,0.0,0.874,0.64,0.234,0.074,0.07,0.004
500,0.05,0.2,0.05,power_law,2.0,25,0.7,0,4,0.4054794520547945,0.422,0.346,0.092,0.066,0.062,0.004,0.862,0.648,0.214,0.0,0.0,0.0,0.862,0.648,0.214,0.072,0.056,0.016
500,0.05,0.2,0.05,power_law,2.0,25,0.7,1,0,0.36164383561643837,0.166,0.118,0.048,0.042,0.038,0.004,0.488,0.348,0.14,0.416,0.322,0.094,0.9039999999999999,0.6699999999999999,0.234,0.054,0.04,0.014
500,0.05,0.2,0.05,power_law,2.0,25,0.7,1,1,0.4328767123287671,0.142,0.108,0.04,0.016,0.016,0.0,0.404,0.27,0.134,0.47,0.366,0.104,0.874,0.636,0.238,0.11,0.1,0.01
500,0.05,0.2,0.05,power_law,2.0,25,0.7,1,2,0.3698630136986301,0.188,0.146,0.048,0.028,0.028,0.0,0.49,0.338,0.152,0.41,0.32,0.09,0.8999999999999999,0.658,0.242,0.072,0.06,0.012
500,0.05,0.2,0.05,power_law,2.0,25,0.7,1,3,0.3506849315068493,0.154,0.13,0.064,0.024,0.022,0.002,0.474,0.324,0.15,0.424,0.352,0.072,0.8979999999999999,0.6759999999999999,0.22199999999999998,0.078,0.062,0.016
500,0.05,0.2,0.05,power_law,2.0,25,0.7,1,4,0.3315068493150685,0.31,0.248,0.064,0.042,0.04,0.002,0.582,0.43,0.152,0.324,0.248,0.076,0.9059999999999999,0.6779999999999999,0.22799999999999998,0.052,0.048,0.004
500,0.05,0.2,0.05,power_law,2.0,25,0.7,2,0,0.4328767123287671,0.16,0.138,0.026,0.05,0.048,0.002,0.44,0.342,0.098,0.432,0.29,0.142,0.872,0.632,0.24,0.078,0.068,0.01
500,0.05,0.2,0.05,power_law,2.0,25,0.7,2,1,0.410958904109589,0.166,0.152,0.022,0.022,0.022,0.0,0.448,0.372,0.076,0.438,0.294,0.144,0.886,0.6659999999999999,0.21999999999999997,0.092,0.064,0.028
500,0.05,0.2,0.05,power_law,2.0,25,0.7,2,2,0.35342465753424657,0.262,0.206,0.066,0.046,0.046,0.0,0.548,0.416,0.132,0.35,0.232,0.118,0.898,0.648,0.25,0.056,0.052,0.004
500,0.05,0.2,0.05,power_law,2.0,25,0.7,2,3,0.4246575342465753,0.124,0.12,0.026,0.028,0.028,0.0,0.426,0.354,0.072,0.444,0.302,0.142,0.87,0.6559999999999999,0.21399999999999997,0.102,0.076,0.026
